Stadt,Bezirk,Bundesland,Einwohner
Allentsteig,Zwettl,Niederösterreich,1736
Altheim,Braunau am Inn,Oberösterreich,4989
Althofen,St. Veit an der Glan,Kärnten,4692
Amstetten,Amstetten,Niederösterreich,23569
Ansfelden,Linz-Land,Oberösterreich,17433
Attnang-Puchheim,Vöcklabruck,Oberösterreich,9101
Bad Aussee,Liezen,Steiermark,4911
Bad Hall,Steyr-Land,Oberösterreich,5592
Bad Ischl,Gmunden,Oberösterreich,14109
Bad Leonfelden,Urfahr-Umgebung,Oberösterreich,4270
Bad Radkersburg,Südoststeiermark,Steiermark,3179
Bad St. Leonhard im Lavanttal,Wolfsberg,Kärnten,4324
Bad Vöslau,Baden,Niederösterreich,12312
Baden,Baden,Niederösterreich,25817
Bärnbach,Voitsberg,Steiermark,5722
Berndorf,Baden,Niederösterreich,9076
Bischofshofen,St. Johann im Pongau,Salzburg,10544
Bleiburg,Völkermarkt,Kärnten,4071
Bludenz,Bludenz,Vorarlberg,14951
Braunau am Inn,Braunau am Inn,Oberösterreich,17438
Bregenz,Bregenz,Vorarlberg,29300
Bruck an der Leitha,Bruck an der Leitha,Niederösterreich,8153
Bruck an der Mur,Bruck-Mürzzuschlag,Steiermark,15650
Deutsch-Wagram,Gänserndorf,Niederösterreich,9018
Deutschlandsberg,Deutschlandsberg,Steiermark,11623
Dornbirn,Dornbirn,Vorarlberg,50333
Drosendorf-Zissersdorf,Horn,Niederösterreich,1207
Dürnstein,Krems,Niederösterreich,828
Ebenfurth,Wiener Neustadt,Niederösterreich,3182
Ebreichsdorf,Baden,Niederösterreich,11422
Eferding,Eferding,Oberösterreich,4276
Eggenburg,Horn,Niederösterreich,3465
Eisenerz,Leoben,Steiermark,3742
Eisenstadt,1,Burgenland,14895
Enns,Linz-Land,Oberösterreich,11900
Fehring,Südoststeiermark,Steiermark,7167
Feldbach,Südoststeiermark,Steiermark,13371
Feldkirch,Feldkirch,Vorarlberg,34987
Feldkirchen in Kärnten,Feldkirchen,Kärnten,14289
Ferlach,Klagenfurt-Land,Kärnten,7206
Fischamend,Bruck an der Leitha,Niederösterreich,5578
Frauenkirchen,Neusiedl am See,Burgenland,2854
Freistadt,Freistadt,Oberösterreich,7959
Friedberg,Hartberg-Fürstenfeld,Steiermark,2623
Friesach,St. Veit an der Glan,Kärnten,4875
